"Creado el","Empresa","Fin de prefijo de código","Inicio de prefijo de código","Nombre"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","171.11","171.11","Depreciación acumulada de aviones"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","171.12","171.12","Depreciación acumulada de troqueles, moldes, matrices y herramental"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","171.13","171.13","Depreciación acumulada de equipo de comunicaciones telefónicas"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","171.14","171.14","Depreciación acumulada de equipo de comunicación satelital"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","171.15","171.15","Depreciación acumulada de equipo de adaptaciones para personas con capacidades diferentes"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","171.16","171.16","Depreciación acumulada de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","171.17","171.17","Depreciación acumulada de adaptaciones y mejoras"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","171.18","171.18","Depreciación acumulada de otra maquinaria y equipo"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172","172","Pérdida por deterioro acumulado de activos fijos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.01","172.01","Pérdida por deterioro acumulado de edificios"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.02","172.02","Pérdida por deterioro acumulado de maquinaria y equipo"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.03","172.03","Pérdida por deterioro acumulado de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.04","172.04","Pérdida por deterioro acumulado de mobiliario y equipo de oficina"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.05","172.05","Pérdida por deterioro acumulado de equipo de cómputo"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.06","172.06","Pérdida por deterioro acumulado de equipo de comunicación"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.07","172.07","Pérdida por deterioro acumulado de activos biológicos, vegetales y semovientes"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.08","172.08","Pérdida por deterioro acumulado de otros activos fijos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.09","172.09","Pérdida por deterioro acumulado de ferrocarriles"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.10","172.10","Pérdida por deterioro acumulado de embarcaciones"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.11","172.11","Pérdida por deterioro acumulado de aviones"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.12","172.12","Pérdida por deterioro acumulado de troqueles, moldes, matrices y herramental"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.13","172.13","Pérdida por deterioro acumulado de equipo de comunicaciones telefónicas"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.14","172.14","Pérdida por deterioro acumulado de equipo de comunicación satelital"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.15","172.15","Pérdida por deterioro acumulado de equipo de adaptaciones para personas con capacidades diferentes"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.16","172.16","Pérdida por deterioro acumulado de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.17","172.17","Pérdida por deterioro acumulado de adaptaciones y mejoras"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","172.18","172.18","Pérdida por deterioro acumulado de otra maquinaria y equipo"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","173","173","Gastos diferidos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","173.01","173.01","Gastos diferidos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","174","174","Gastos pre operativos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","174.01","174.01","Gastos pre operativos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","175","175","Regalías, asistencia técnica y otros gastos diferidos"
